id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,lotSize
"1108-Cherokee-Cir,-Waycross,-GA-31501","1108 Cherokee Cir, Waycross, GA 31501",1108 Cherokee Cir,,Waycross,GA,31501,Ware,31.223789,-82.332478,Single Family,3,3.0,2303.0,1949.0,Active,149100,2023-09-05T00:00:00.000Z,,2020-09-24T08:54:46.147Z,2024-05-01T00:00:00.000Z,240,10019.0
"1590-Hidden-Lake-Dr,-Cherry-Log,-GA-30522","1590 Hidden Lake Dr, Cherry Log, GA 30522",1590 Hidden Lake Dr,,Cherry Log,GA,30522,Gilmer,34.784449,-84.379383,Single Family,3,2.0,1252.0,1988.0,Active,449000,2024-03-08T00:00:00.000Z,,2020-09-24T14:34:01.233Z,2024-05-01T00:00:00.000Z,55,22651.0
"4416-Nohl-Crest-Dr,-Flowery-Branch,-GA-30542","4416 Nohl Crest Dr, Flowery Branch, GA 30542",4416 Nohl Crest Dr,,Flowery Branch,GA,30542,Hall,34.185801,-83.856025,Single Family,3,2.0,2024.0,1993.0,Active,365000,2024-04-22T00:00:00.000Z,,2020-09-24T15:01:44.358Z,2024-05-01T00:00:00.000Z,10,33541.0
"202-Arthur-Rd,-Cisco,-GA-30708","202 Arthur Rd, Cisco, GA 30708",202 Arthur Rd,,Cisco,GA,30708,Murray,34.954442,-84.740416,Single Family,3,2.0,2059.0,1960.0,Active,249000,2024-03-14T00:00:00.000Z,,2020-09-25T15:03:41.867Z,2024-05-01T00:00:00.000Z,49,396396.0
"2347-Stone-Dr-SW,-Lilburn,-GA-30047","2347 Stone Dr SW, Lilburn, GA 30047",2347 Stone Dr SW,,Lilburn,GA,30047,Gwinnett,33.820291,-84.096363,Single Family,3,2.5,1752.0,1984.0,Active,345000,2024-03-08T00:00:00.000Z,,2020-09-25T16:45:18.766Z,2024-05-01T00:00:00.000Z,55,23522.0
"6098-Scott-Dr,-Donalsonville,-GA-39845","6098 Scott Dr, Donalsonville, GA 39845",6098 Scott Dr,,Donalsonville,GA,39845,Seminole,30.974909,-84.872376,Single Family,3,2.5,2568.0,1986.0,Active,339900,2024-04-17T00:00:00.000Z,,2020-09-25T22:20:39.953Z,2024-05-01T00:00:00.000Z,15,35284.0
"820-Waterfield-Dr,-Hinesville,-GA-31313","820 Waterfield Dr, Hinesville, GA 31313",820 Waterfield Dr,,Hinesville,GA,31313,Liberty,31.802739,-81.655799,Single Family,3,2.0,1460.0,1997.0,Active,229900,2024-03-29T00:00:00.000Z,,2020-09-26T00:37:15.812Z,2024-05-01T00:00:00.000Z,34,13068.0
"3728-Sarahs-Ln,-Tucker,-GA-30084","3728 Sarahs Ln, Tucker, GA 30084",3728 Sarahs Ln,,Tucker,GA,30084,DeKalb,33.835771,-84.236107,Single Family,3,2.0,1280.0,1960.0,Active,410000,2024-04-21T00:00:00.000Z,,2020-09-26T18:36:19.867Z,2024-05-01T00:00:00.000Z,11,17424.0
"56-Starling-Dr,-Monticello,-GA-31064","56 Starling Dr, Monticello, GA 31064",56 Starling Dr,,Monticello,GA,31064,Jasper,33.378327,-83.836589,Single Family,3,2.0,1404.0,2003.0,Active,224900,2023-12-31T00:00:00.000Z,,2020-09-27T05:38:13.710Z,2024-05-01T00:00:00.000Z,123,17424.0
"135-Morrow-Pl,-Dawsonville,-GA-30534","135 Morrow Pl, Dawsonville, GA 30534",135 Morrow Pl,,Dawsonville,GA,30534,Dawson,34.411711,-84.113788,Single Family,3,2.0,1436.0,2020.0,Active,359900,2024-04-14T00:00:00.000Z,,2020-09-27T09:55:54.320Z,2024-05-01T00:00:00.000Z,18,8276.0
